         2451668 function calls (2382567 primitive calls) in 114.984 seconds

   Ordered by: cumulative time
   List reduced from 1433 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    72/16    0.000    0.000  258.566   16.160 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:1134(wait)
    72/16    0.001    0.000  258.566   16.160 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/selectors.py:385(select)
     18/4    0.000    0.000  176.884   44.221 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:500(_wait_for_updates)
7755/5788   59.412    0.008  125.818    0.022 {built-in method time.sleep}
       28    0.000    0.000  115.577    4.128 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:1056(join)
        1    0.071    0.071  114.984  114.984 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/runs/run_01.py:175(_run_harness_inner)
        1    0.313    0.313  114.913  114.913 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1577(harness)
       28    0.001    0.000  113.680    4.060 {method 'join' of '_thread._ThreadHandle' objects}
 8112/162    0.045    0.000  112.807    0.696 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1421(searchsorted)
       27    0.000    0.000  112.118    4.153 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/util.py:197(__call__)
        9    0.000    0.000  107.712   11.968 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1403(_terminate_and_reset)
        9    0.000    0.000  107.703   11.967 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/_parallel_backends.py:323(terminate)
        9    0.000    0.000  106.307   11.812 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:654(terminate)
        9    0.000    0.000  105.672   11.741 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:680(_terminate_pool)
 4026/506    0.007    0.000   97.275    0.192 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1670(_get_outputs)
       54    0.000    0.000   89.180    1.651 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/queues.py:372(empty)
       54    0.000    0.000   89.176    1.651 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:253(poll)
       54    0.000    0.000   89.057    1.649 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:439(_poll)
     10/2    0.000    0.000   88.490   44.245 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1969(__call__)
     60/2    0.001    0.000   88.489   44.244 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:998(_bootstrap)
     60/2    0.001    0.000   88.489   44.244 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:1025(_bootstrap_inner)
     60/2    0.001    0.000   88.489   44.244 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:981(run)
      9/2    0.000    0.000   88.489   44.244 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:527(_handle_tasks)
      9/2    0.000    0.000   88.454   44.227 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:506(_handle_workers)
    72/16    0.001    0.000   88.452    5.528 {method 'poll' of 'select.poll' objects}
