         2431399 function calls (2359790 primitive calls) in 42.013 seconds

   Ordered by: cumulative time
   List reduced from 1437 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    68/16    0.000    0.000   47.638    2.977 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:1134(wait)
    68/16    0.001    0.000   47.638    2.977 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/selectors.py:385(select)
        1    0.061    0.061   42.013   42.013 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/runs/run_01.py:175(_run_harness_inner)
        1    0.316    0.316   41.952   41.952 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1577(harness)
        9    0.000    0.000   38.844    4.316 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1403(_terminate_and_reset)
        9    0.001    0.000   38.843    4.316 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/_parallel_backends.py:323(terminate)
        9    0.000    0.000   38.724    4.303 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:654(terminate)
 4026/506    0.009    0.000   34.970    0.069 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1670(_get_outputs)
       27    0.000    0.000   34.701    1.285 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/util.py:197(__call__)
        9    0.000    0.000   34.700    3.856 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:680(_terminate_pool)
       28    0.000    0.000   34.308    1.225 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:1056(join)
       50    0.000    0.000   33.834    0.677 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/queues.py:372(empty)
       50    0.000    0.000   33.834    0.677 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:253(poll)
       28    0.001    0.000   32.789    1.171 {method 'join' of '_thread._ThreadHandle' objects}
     18/4    0.000    0.000   31.753    7.938 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:500(_wait_for_updates)
       50    0.000    0.000   27.792    0.556 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:439(_poll)
    68/16    0.001    0.000   25.225    1.577 {method 'poll' of 'select.poll' objects}
   122/96    0.002    0.000   23.136    0.241 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/polars/_utils/deprecation.py:84(wrapper)
   122/96    0.001    0.000   23.130    0.241 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/polars/lazyframe/opt_flags.py:327(wrapper)
   122/96    0.001    0.000   22.734    0.237 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/polars/lazyframe/frame.py:2279(collect)
   122/96   22.717    0.186   22.717    0.237 {method 'collect' of 'builtins.PyLazyFrame' objects}
 4002/501    0.038    0.000   19.066    0.038 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1776(_retrieve)
     10/2    0.000    0.000   15.919    7.959 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1969(__call__)
     85/2    0.001    0.000   15.917    7.959 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:998(_bootstrap)
     85/2    0.001    0.000   15.917    7.959 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:1025(_bootstrap_inner)
     85/2    0.000    0.000   15.917    7.959 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:981(run)
      9/2    0.000    0.000   15.917    7.959 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:527(_handle_tasks)
      9/2    0.000    0.000   15.889    7.944 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:506(_handle_workers)
   4008/2    0.031    0.000   15.865    7.933 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/_utils.py:107(__call__)
   4008/2    0.103    0.000   15.865    7.933 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:603(__call__)


         2431399 function calls (2359790 primitive calls) in 42.013 seconds

   Ordered by: internal time
   List reduced from 1437 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   122/96   22.717    0.186   22.717    0.237 {method 'collect' of 'builtins.PyLazyFrame' objects}
 8588/565    7.518    0.001    0.352    0.001 {method 'searchsorted' of 'numpy.ndarray' objects}
 2560/664    2.050    0.001   12.021    0.018 {built-in method time.sleep}
   4000/1    1.269    0.000    6.481    6.481 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1013(_one_replicate)
   800/21    0.929    0.001    0.045    0.002 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/lightgbm/basic.py:4092(update)
 1017/992    0.808    0.001    3.258    0.003 {method 'sort' of 'numpy.ndarray' objects}
        1    0.636    0.636    0.915    0.915 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1317(_compute_cell_class_balance_diagnostic)
      209    0.559    0.003    0.614    0.003 {method 'argsort' of 'numpy.ndarray' objects}
24851/22430    0.534    0.000   14.427    0.001 {method 'astype' of 'numpy.ndarray' objects}
4113/3720    0.452    0.000    1.863    0.001 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/_methods.py:96(_clip)
13544/594    0.405    0.000    7.455    0.013 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:48(_wrapfunc)
    500/1    0.405    0.001    9.333    9.333 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1067(_one_replicate)
      714    0.379    0.001    0.441    0.001 {built-in method numpy._core._multiarray_umath._unique_hash}
4113/3720    0.331    0.000    8.422    0.002 {method 'clip' of 'numpy.ndarray' objects}
        1    0.316    0.316   41.952   41.952 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1577(harness)
 8091/474    0.259    0.000    2.787    0.006 {method 'get' of '_queue.SimpleQueue' objects}
15324/14995    0.232    0.000    1.434    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1191526    0.215    0.000    0.215    0.000 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1334(_bin_prior)
   4008/2    0.103    0.000   15.865    7.933 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:603(__call__)
        1    0.098    0.098    0.220    0.220 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1193(_per_tenure_residualized_auc)
  8112/89    0.077    0.000    6.905    0.078 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1421(searchsorted)
     3957    0.071    0.000    0.091    0.000 {built-in method numpy.array}
        1    0.061    0.061   42.013   42.013 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/runs/run_01.py:175(_run_harness_inner)
       64    0.061    0.001    0.150    0.002 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/isotonic.py:312(_build_y)
4113/3720    0.060    0.000   13.680    0.004 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2207(clip)
       96    0.049    0.001    0.116    0.001 {built-in method numpy._core._multiarray_umath.interp}
    73/57    0.047    0.001    0.045    0.001 {method 'to_numpy' of 'builtins.PySeries' objects}
  714/681    0.046    0.000    6.427    0.009 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/lib/_arraysetops_impl.py:350(_unique1d)
        9    0.045    0.005    0.045    0.005 {method 'min' of 'builtins.PySeries' objects}
      129    0.038    0.000    0.038    0.000 {method 'cumsum' of 'numpy.ndarray' objects}


