         2377333 function calls (2298117 primitive calls) in 35.432 seconds

   Ordered by: cumulative time
   List reduced from 1437 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.070    0.070   35.432   35.432 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/runs/run_01.py:175(_run_harness_inner)
        1    0.318    0.318   35.362   35.362 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1607(harness)
        9    0.000    0.000   31.652    3.517 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1403(_terminate_and_reset)
        9    0.001    0.000   31.633    3.515 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/_parallel_backends.py:323(terminate)
        9    0.000    0.000   31.407    3.490 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:654(terminate)
       27    0.000    0.000   31.399    1.163 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/util.py:197(__call__)
       28    0.000    0.000   31.050    1.109 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:1056(join)
       28    0.001    0.000   31.049    1.109 {method 'join' of '_thread._ThreadHandle' objects}
        9    0.000    0.000   30.501    3.389 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:680(_terminate_pool)
    72/16    0.001    0.000   26.640    1.665 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:1134(wait)
    72/16    0.001    0.000   26.640    1.665 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/selectors.py:385(select)
       54    0.000    0.000   25.974    0.481 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/queues.py:372(empty)
       54    0.000    0.000   24.231    0.449 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:253(poll)
   122/93    0.001    0.000   22.880    0.246 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/polars/_utils/deprecation.py:84(wrapper)
   122/93    0.001    0.000   22.872    0.246 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/polars/lazyframe/opt_flags.py:327(wrapper)
   122/93    0.002    0.000   22.868    0.246 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/polars/lazyframe/frame.py:2279(collect)
   122/93   22.864    0.187   22.854    0.246 {method 'collect' of 'builtins.PyLazyFrame' objects}
37867/19683    1.206    0.000   21.772    0.001 {method 'astype' of 'numpy.ndarray' objects}
       54    0.000    0.000   19.629    0.364 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:439(_poll)
     18/4    0.000    0.000   17.751    4.438 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:500(_wait_for_updates)
4060/1543    0.087    0.000   16.799    0.011 {method 'sum' of 'numpy.ndarray' objects}
    50/15    0.001    0.000   14.781    0.985 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/polars/_utils/deprecation.py:123(wrapper)
        5    0.000    0.000   14.058    2.812 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/polars/dataframe/frame.py:8192(join)
 4026/506    0.010    0.000   11.812    0.023 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1670(_get_outputs)
        2    0.033    0.016   11.254    5.627 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:605(_assert_no_future_leak)
      502    0.014    0.000   10.753    0.021 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1888(_get_sequential_output)
 2086/172    1.138    0.001   10.445    0.061 {built-in method time.sleep}
 4620/100    0.060    0.000    9.516    0.095 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1421(searchsorted)
     10/2    0.000    0.000    8.926    4.463 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1969(__call__)
     85/2    0.001    0.000    8.924    4.462 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:998(_bootstrap)


         2377333 function calls (2298117 primitive calls) in 35.432 seconds

   Ordered by: internal time
   List reduced from 1437 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   122/93   22.864    0.187   22.854    0.246 {method 'collect' of 'builtins.PyLazyFrame' objects}
 5096/576    2.334    0.000    0.530    0.001 {method 'searchsorted' of 'numpy.ndarray' objects}
   4000/1    1.211    0.000    6.380    6.380 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1013(_one_replicate)
37867/19683    1.206    0.000   21.772    0.001 {method 'astype' of 'numpy.ndarray' objects}
 2086/172    1.138    0.001   10.445    0.061 {built-in method time.sleep}
   800/19    0.933    0.001    0.049    0.003 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/lightgbm/basic.py:4092(update)
 1017/998    0.799    0.001    1.455    0.001 {method 'sort' of 'numpy.ndarray' objects}
        1    0.654    0.654    0.939    0.939 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1347(_compute_cell_class_balance_diagnostic)
      209    0.537    0.003    0.585    0.003 {method 'argsort' of 'numpy.ndarray' objects}
      714    0.370    0.001    0.400    0.001 {built-in method numpy._core._multiarray_umath._unique_hash}
        1    0.318    0.318   35.362   35.362 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1607(harness)
15324/12054    0.225    0.000    4.550    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1191526    0.220    0.000    0.220    0.000 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1364(_bin_prior)
 6060/611    0.183    0.000    7.658    0.013 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:48(_wrapfunc)
 8091/474    0.158    0.000    0.407    0.001 {method 'get' of '_queue.SimpleQueue' objects}
    500/1    0.154    0.000    0.002    0.002 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1082(_one_replicate)
   4008/2    0.147    0.000    8.860    4.430 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:603(__call__)
        1    0.100    0.100    0.222    0.222 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1223(_per_tenure_residualized_auc)
