         3503145 function calls (3422817 primitive calls) in 185.654 seconds

   Ordered by: cumulative time
   List reduced from 1460 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    68/16    0.000    0.000  192.860   12.054 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:1134(wait)
    68/16    0.001    0.000  192.860   12.054 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/selectors.py:385(select)
        1    0.069    0.069  185.654  185.654 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/runs/run_01.py:175(_run_harness_inner)
        1    0.302    0.302  185.585  185.585 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1520(harness)
     16/4    0.000    0.000  183.242   45.811 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:500(_wait_for_updates)
 4026/506    0.005    0.000  182.664    0.361 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1670(_get_outputs)
        9    0.000    0.000  117.886   13.098 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1403(_terminate_and_reset)
        9    0.001    0.000  117.886   13.098 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/_parallel_backends.py:323(terminate)
        9    0.000    0.000  116.942   12.994 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:654(terminate)
       27    0.000    0.000  116.942    4.331 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/util.py:197(__call__)
7993/5874   63.655    0.008  107.732    0.018 {built-in method time.sleep}
       28    0.000    0.000  104.178    3.721 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:1056(join)
        9    0.000    0.000  103.242   11.471 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:680(_terminate_pool)
       28    0.001    0.000  102.315    3.654 {method 'join' of '_thread._ThreadHandle' objects}
     10/2    0.000    0.000   91.664   45.832 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1969(__call__)
     60/2    0.000    0.000   91.662   45.831 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:998(_bootstrap)
     60/2    0.001    0.000   91.662   45.831 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:1025(_bootstrap_inner)
     60/2    0.000    0.000   91.662   45.831 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:981(run)
      9/2    0.000    0.000   91.662   45.831 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:527(_handle_tasks)
      9/2    0.000    0.000   91.631   45.815 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:506(_handle_workers)
    68/16    0.001    0.000   91.628    5.727 {method 'poll' of 'select.poll' objects}
   4008/2    0.041    0.000   91.613   45.806 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/_utils.py:107(__call__)
   4008/2    0.114    0.000   91.613   45.806 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:603(__call__)
6140/6112    0.008    0.000   90.542    0.015 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/polars/_utils/deprecation.py:84(wrapper)
       36    0.000    0.000   90.049    2.501 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/queues.py:383(get)
       36    0.000    0.000   90.048    2.501 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:208(recv_bytes)
       36    0.000    0.000   90.048    2.501 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:429(_recv_bytes)
       72    0.000    0.000   90.048    1.251 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:390(_recv)
       72    0.000    0.000   90.048    1.251 {built-in method posix.read}
6140/6112    0.018    0.000   89.910    0.015 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/polars/lazyframe/opt_flags.py:327(wrapper)


         3503145 function calls (3422817 primitive calls) in 185.654 seconds

   Ordered by: internal time
   List reduced from 1460 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
6140/6112   89.788    0.015   89.806    0.015 {method 'collect' of 'builtins.PyLazyFrame' objects}
7993/5874   63.655    0.008  107.732    0.018 {built-in method time.sleep}
 8604/715   18.149    0.002    9.512    0.013 {method 'searchsorted' of 'numpy.ndarray' objects}
   4000/1    3.063    0.001    0.000    0.000 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:956(_one_replicate)
    500/1    2.140    0.004   81.997   81.997 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1010(_one_replicate)
  1600/30    1.622    0.001    0.036    0.001 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/lightgbm/basic.py:4092(update)
1049/1024    0.805    0.001    0.878    0.001 {method 'sort' of 'numpy.ndarray' objects}
        1    0.656    0.656    0.941    0.941 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1260(_compute_cell_class_balance_diagnostic)
      209    0.555    0.003    0.584    0.003 {method 'argsort' of 'numpy.ndarray' objects}
 8066/499    0.407    0.000    5.269    0.011 {method 'get' of '_queue.SimpleQueue' objects}
24870/23501    0.385    0.000    2.797    0.000 {method 'astype' of 'numpy.ndarray' objects}
  746/745    0.384    0.001    0.401    0.001 {built-in method numpy._core._multiarray_umath._unique_hash}
4113/4079    0.311    0.000    0.388    0.000 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/_methods.py:96(_clip)
        1    0.302    0.302  185.585  185.585 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1520(harness)
        3    0.224    0.075    0.224    0.075 {method 'gather_with_series' of 'builtins.PyDataFrame' objects}
  1191526    0.218    0.000    0.218    0.000 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1277(_bin_prior)
13624/901    0.206    0.000   13.062    0.014 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:48(_wrapfunc)
4113/4079    0.133    0.000    3.218    0.001 {method 'clip' of 'numpy.ndarray' objects}
   4008/2    0.114    0.000   91.613   45.806 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:603(__call__)
15354/15257    0.098    0.000    0.117    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.095    0.095    0.214    0.214 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1136(_per_tenure_residualized_auc)
        2    0.081    0.040   78.204   39.102 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:605(_assert_no_future_leak)
        9    0.078    0.009    0.078    0.009 {method 'min' of 'builtins.PySeries' objects}
     4077    0.074    0.000    0.075    0.000 {built-in method numpy.array}
        1    0.069    0.069  185.654  185.654 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/runs/run_01.py:175(_run_harness_inner)
4113/4079    0.053    0.000    3.797    0.001 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2207(clip)
  746/713    0.052    0.000    1.077    0.002 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/lib/_arraysetops_impl.py:350(_unique1d)
    68/56    0.049    0.001    0.053    0.001 {method 'to_numpy' of 'builtins.PySeries' objects}
       96    0.046    0.000    0.062    0.001 {built-in method numpy._core._multiarray_umath.interp}
   4008/2    0.041    0.000   91.613   45.806 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/_utils.py:107(__call__)


