         2219451 function calls (2145620 primitive calls) in 36.586 seconds

   Ordered by: cumulative time
   List reduced from 1437 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      502    0.025    0.000   47.767    0.095 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1888(_get_sequential_output)
        1    0.071    0.071   36.586   36.586 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/runs/run_01.py:194(_run_harness_inner)
        1    0.344    0.344   36.515   36.515 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1629(harness)
    70/16    0.001    0.000   27.959    1.747 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:1134(wait)
    70/16    0.001    0.000   27.959    1.747 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/selectors.py:385(select)
       28    0.000    0.000   27.085    0.967 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/threading.py:1056(join)
        9    0.000    0.000   26.066    2.896 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:654(terminate)
       27    0.000    0.000   25.932    0.960 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/util.py:197(__call__)
        9    0.001    0.000   25.670    2.852 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1403(_terminate_and_reset)
        9    0.001    0.000   25.647    2.850 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/_parallel_backends.py:323(terminate)
   122/97    0.001    0.000   23.246    0.240 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/polars/_utils/deprecation.py:84(wrapper)
   122/97    0.002    0.000   23.222    0.239 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/polars/lazyframe/opt_flags.py:327(wrapper)
   122/97    0.001    0.000   23.216    0.239 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/polars/lazyframe/frame.py:2279(collect)
   122/97   23.205    0.190   23.208    0.239 {method 'collect' of 'builtins.PyLazyFrame' objects}
       28    0.002    0.000   20.420    0.729 {method 'join' of '_thread._ThreadHandle' objects}
        9    0.000    0.000   19.599    2.178 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:680(_terminate_pool)
     17/4    0.000    0.000   18.633    4.658 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:500(_wait_for_updates)
33175/8674    2.701    0.000   18.410    0.002 {method 'astype' of 'numpy.ndarray' objects}
       53    0.000    0.000   17.435    0.329 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/queues.py:372(empty)
 4026/506    0.040    0.000   16.940    0.033 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1670(_get_outputs)
    70/16    0.003    0.000   15.503    0.969 {method 'poll' of 'select.poll' objects}
 4060/891    0.207    0.000   15.494    0.017 {method 'sum' of 'numpy.ndarray' objects}
       53    0.000    0.000   14.898    0.281 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:253(poll)
       53    0.000    0.000   14.763    0.279 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:439(_poll)
    50/15    0.001    0.000   14.628    0.975 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/polars/_utils/deprecation.py:123(wrapper)
 4060/891    0.264    0.000   14.027    0.016 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/_methods.py:47(_sum)
        5    0.000    0.000   13.982    2.796 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/polars/dataframe/frame.py:8192(join)
 4000/178    1.442    0.000   12.167    0.068 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1037(_one_replicate)
        2    0.036    0.018   11.898    5.949 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:607(_assert_no_future_leak)
     10/2    0.000    0.000    9.361    4.680 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1969(__call__)


         2219451 function calls (2145620 primitive calls) in 36.586 seconds

   Ordered by: internal time
   List reduced from 1437 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   122/97   23.205    0.190   23.208    0.239 {method 'collect' of 'builtins.PyLazyFrame' objects}
33175/8674    2.701    0.000   18.410    0.002 {method 'astype' of 'numpy.ndarray' objects}
 4000/178    1.442    0.000   12.167    0.068 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1037(_one_replicate)
  825/796    0.852    0.001    0.872    0.001 {method 'sort' of 'numpy.ndarray' objects}
        1    0.717    0.717    1.035    1.035 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1363(_compute_cell_class_balance_diagnostic)
 8091/473    0.708    0.000    3.517    0.007 {method 'get' of '_queue.SimpleQueue' objects}
   800/25    0.678    0.001    0.095    0.004 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/lightgbm/basic.py:4092(update)
      129    0.560    0.004    0.576    0.004 {method 'argsort' of 'numpy.ndarray' objects}
5803/2243    0.497    0.000    3.892    0.002 {method 'reduce' of 'numpy.ufunc' objects}
  580/572    0.386    0.001    0.403    0.001 {method 'searchsorted' of 'numpy.ndarray' objects}
  538/537    0.368    0.001    0.380    0.001 {built-in method numpy._core._multiarray_umath._unique_hash}
4535/3158    0.365    0.000    1.575    0.000 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/numeric.py:323(full)
 1569/212    0.365    0.000    0.259    0.001 {built-in method time.sleep}
        1    0.344    0.344   36.515   36.515 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1629(harness)
   4008/2    0.334    0.000    9.304    4.652 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:603(__call__)
 4060/891    0.264    0.000   14.027    0.016 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/_methods.py:47(_sum)
  1191526    0.246    0.000    0.246    0.000 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1380(_bin_prior)
 4060/891    0.207    0.000   15.494    0.017 {method 'sum' of 'numpy.ndarray' objects}
   4008/2    0.142    0.000    9.304    4.652 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/_utils.py:107(__call__)
    500/1    0.117    0.000    0.000    0.000 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1104(_one_replicate)
 3984/493    0.107    0.000    0.389    0.001 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1776(_retrieve)
        1    0.105    0.105    0.239    0.239 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/harness.py:1239(_per_tenure_residualized_auc)
2717/2716    0.084    0.000    0.091    0.000 {built-in method numpy.array}
     4521    0.075    0.000    0.086    0.000 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/_core/_ufunc_config.py:496(inner)
        1    0.071    0.071   36.586   36.586 /Users/aaronmyran/dev/ds3/projects/civic_shout_action_rate_increase/runs/run_01.py:194(_run_harness_inner)
        9    0.060    0.007    0.060    0.007 {method 'min' of 'builtins.PySeries' objects}
        3    0.053    0.018    0.053    0.018 {method 'gather_with_series' of 'builtins.PyDataFrame' objects}
  538/505    0.053    0.000    1.002    0.002 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/numpy/lib/_arraysetops_impl.py:350(_unique1d)
    73/63    0.053    0.001    0.060    0.001 {method 'to_numpy' of 'builtins.PySeries' objects}
 4026/506    0.040    0.000   16.940    0.033 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1670(_get_outputs)


