         29707138 function calls (28672622 primitive calls) in 510.322 seconds

   Ordered by: cumulative time
   List reduced from 1428 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
129576/103307    1.266    0.000 1481.662    0.014 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/utils/validation.py:725(check_array)
137492/29029    3.318    0.000 1198.408    0.041 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/externals/array_api_compat/_internal.py:32(wrapped_f)
32299/7583    2.235    0.000  987.324    0.130 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/utils/multiclass.py:240(type_of_target)
40696/28641    1.054    0.000  986.648    0.034 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/utils/validation.py:103(_assert_all_finite)
    60/16    0.000    0.000  974.020   60.876 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/connection.py:1134(wait)
      502    0.024    0.000  936.832    1.866 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1888(_get_sequential_output)
32299/9752    1.023    0.000  901.266    0.092 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/utils/_unique.py:81(cached_unique)
     15/4    0.000    0.000  813.420  203.355 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:500(_wait_for_updates)
    60/16    0.012    0.000  813.419   50.839 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/selectors.py:385(select)
 4026/506    0.225    0.000  813.027    1.607 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/joblib/parallel.py:1670(_get_outputs)
64598/19504    0.799    0.000  725.156    0.037 /Users/aaronmyran/dev/ds3/.venv/lib/python3.13/site-packages/sklearn/utils/_unique.py:105(<genexpr>)
       27    0.000    0.000  720.794   26.696 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/util.py:197(__call__)
        9    0.000    0.000  720.787   80.087 /opt/homebrew/Cellar/python@3.13/3.13.3_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/pool.py:654(terminate)
